id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
1c6ccbf6-d8bb-4e66-9012-e5b4f31a9897,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 18:59:06,25550.189971923828,1.9033319196818343,0.7501354661892455,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
70a9d9b9-222c-47a3-930c-87e47c2c08ad,Whole dataset Carbon,training <Whole dataset> model,,2024-01-13 15:04:05,19450.18119263649,1.4155484234349511,0.5578916979989126,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
4bb3e64d-36ed-41d3-b08e-662db3539067,Whole dataset Carbon,training <Whole dataset> model,,2024-01-13 21:04:40,12340.181923627852,0.9003084372975669,0.3548268603824052,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
e667084f-55ef-4bb2-95a8-0348237b91e8,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 09:45:14,1510.1690752506256,0.1221997013903195,0.0481609797128485,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
a29857c2-416a-4b0d-bc77-9d01f6dc5965,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 10:11:09,10220.173684835434,0.6330665094813628,0.2495022735172662,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
5460e419-7195-49b0-8977-7a6b7627c6f6,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 13:10:26,540.1716461181641,0.0430564337136574,0.0169692724859255,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
d74df0ba-5a44-4de9-93ca-c684537a3f3c,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 13:27:02,20.172462940216064,0.0015831889052567,0.000623961661773,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
b87f5aac-8cc9-4291-b508-6169fdc36309,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 13:27:34,90.17275214195251,0.0068888030306503,0.0027149943840308,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
cb3b3711-12d3-41e3-bc58-17e2bcc45a97,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 13:46:46,10.17066526412964,0.0007862794326854,0.0003098860911716,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
9d78240e-07c2-4944-adca-3253daf0eb2b,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 14:24:58,70.17765164375305,0.0053575629433092,0.0021115066345282,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
98353a0e-c2dd-4ff6-8ef8-e399f05e31fe,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 14:32:16,30.16976761817932,0.0020537077194974,0.0008094011252851,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
6cf32467-d1ad-46ac-96ec-cc248fc6926e,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 14:33:09,170.1712920665741,0.0132612349631335,0.0052264781399653,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
